Num,DReferencia,Pulso,DMedida
1,5,254,4
2,5,226,3
3,5,250,4
4,5,226,3
5,5,225,3
6,10,607,10
7,10,607,10
8,10,613,10
9,10,607,10
10,10,614,10
11,20,1142,19
12,20,1124,19
13,20,1118,19
14,20,1123,19
15,20,1117,19
16,30,1714,29
17,30,1739,29
18,30,1715,29
19,30,1718,29
20,30,1715,29
21,40,2291,39
22,40,2291,39
23,40,2336,40
24,40,2316,39
25,40,2340,40
26,50,2917,50
27,50,2992,51
28,50,2941,50
29,50,2992,51
30,50,2942,50
31,60,3500,60
32,60,3566,61
33,60,3493,60
34,60,3492,60
35,60,3626,62
36,70,3993,68
37,70,3979,68
38,70,4000,68
39,70,3978,68
40,70,4003,68
41,80,4968,85
42,80,4979,85
43,80,4964,85
44,80,4878,83
45,80,4982,85
46,5,4406,75
47,5,4400,75
48,5,4428,76
49,5,4425,76
50,5,4419,75
51,10,4415,75
52,10,4397,75
53,10,4414,75
54,10,4415,75
55,10,4406,75
56,20,4416,75
57,20,4403,75
58,20,4422,75
59,20,4430,76
60,20,4394,75
61,30,4403,75
62,30,4408,75
63,30,4421,75
64,30,4420,75
65,30,4397,75
66,40,4412,75
67,40,4406,75
68,40,4391,75
69,40,4395,75
70,40,4413,75
71,50,4408,75
72,50,4414,75
73,50,4419,75
74,50,4415,75
75,50,4417,75
76,60,4059,69
77,60,4401,75
78,60,4410,75
79,60,4413,75
80,60,4396,75
81,70,4392,75
82,70,4414,75
83,70,4415,75
84,70,4394,75
85,70,4403,75
86,80,4406,75
87,80,4394,75
88,80,4421,75
89,80,4401,75
90,80,4422,75
